Longitude, Latitude, Line Group (Path ID), Order of Points 
-122.29807023076924, 37.901644, 1, 555
-122.30601815384615, 37.90118499999999, 1, 556
-122.31004436363638, 37.907177136363636, 1, 557
-122.309354, 37.89306230434782, 1, 558
-122.30991840000002, 37.88639353333334, 1, 559
-122.30195218181821, 37.864248848484856, 1, 560
-122.32288431578948, 37.91678415789474, 1, 561
-122.31653948148147, 37.92312355555556, 1, 562
-122.3350515, 37.93090250000001, 1, 563
-122.33033758823528, 37.940684000000005, 1, 564
-122.32160153571428, 37.938770857142856, 1, 565
-122.3154709, 37.945607133333326, 1, 566
-122.32168117142857, 37.958479171428564, 1, 567
-122.33824723999999, 37.95670312, 1, 568
-122.33398312000003, 37.96656392, 1, 569
-122.33103555172416, 37.97184665517241, 1, 570
-122.33036288888883, 37.9822572962963, 1, 571
-122.31701962499999, 37.99438356249998, 1, 572
-122.3095228965517, 37.97533462068966, 1, 573
-122.29504637931036, 37.968285, 1, 574
-122.29119020512826, 37.94340326923077, 1, 575
-122.26817209433963, 37.96843684905661, 1, 576
-122.2857691111111, 37.980991777777774, 1, 577
-122.2925388275862, 38.004487068965524, 1, 578
-122.30915603448278, 38.00271631034482, 1, 579
-122.25264425531913, 37.983684765957456, 1, 580
-122.26400773076921, 38.00010707692308, 1, 581
-122.25490009090912, 38.00762063636363, 1, 582
-122.22972426530609, 38.021021755102026, 1, 583
-122.19839898412697, 38.0372775079365, 1, 584
-122.21746250000001, 38.07236949999999, 1, 585
-122.22434176923078, 38.0827311923077, 1, 586
-122.24367080000003, 38.088828760000006, 1, 587
-122.23692114285714, 38.096273714285715, 1, 588
-122.24886000000001, 38.10071728571428, 1, 589
